A1 Yenilenebilir Enerji Uretim AS
Aydem Yenilenebilir Enerji AS
Biotrend Cevre ve Enerji Yatirimlari AS
Tatlipinar Enerji Uretim AS
Akfen Yenilenebilir Enerji AS
KPI Green Energy Ltd
Gujarat Industries Power Company Ltd
Renova Energia SA Em Recuperacao Judicial
Karma Energy Ltd
Surana Telecom and Power Ltd
Waaree Renewable Technologies Ltd
Ntpc Green Energy Ltd
ACME Solar Holdings Ltd
IndiGrid Infrastructure Trust
